Rk,Pk,Draft Year,Player ID,Team,Player Name,College,Year,TOTG,TOTMP,TOTPTS,TRB,TOTAST,FG%,3P%,FT%,MPPG,PTSPG,TRBPG,ASTPG,WS,WS/48,BPM,VORP
1,1,2000,200001,NJN,Kenyon Martin,Cincinnati,15,757,23134,9325,5159,1439,0.483,0.234,0.629,30.6,12.3,6.8,1.9,48,0.1,0.1,12.1
2,2,2000,200002,VAN,Stromile Swift,LSU,9,547,10804,4582,2535,275,0.473,0.074,0.699,19.8,8.4,4.6,0.5,21.3,0.095,-1.6,1.1
3,3,2000,200003,CHI,Marcus Fizer,Iowa State,6,289,6032,2782,1340,352,0.435,0.191,0.691,20.9,9.6,4.6,1.2,2.7,0.022,-3.7,-2.6
4,4,2000,200004,ORL,Mike Miller,Florida,17,1032,27812,10973,4376,2666,0.459,0.407,0.769,26.9,10.6,4.2,2.6,60.7,0.105,0.8,19.8
5,5,2000,200005,ATL,DerMarr Johnson,Cincinnati,7,344,5930,2121,769,304,0.411,0.336,0.789,17.2,6.2,2.2,0.9,6.4,0.052,-1.6,0.6
6,6,2000,200006,CHI,Chris Mihm,Texas,8,436,8758,3262,2302,223,0.459,0.231,0.704,20.1,7.5,5.3,0.5,13.3,0.073,-3.9,-4.3
7,7,2000,200007,CLE,Jamal Crawford,Michigan,20,1327,38994,19419,2948,4541,0.41,0.348,0.862,29.4,14.6,2.2,3.4,60.7,0.075,-0.1,18.4
8,8,2000,200008,HOU,Joel Przybilla,Minnesota,13,592,11733,2293,3665,256,0.552,0,0.557,19.8,3.9,6.2,0.4,23,0.094,-1.7,0.8
9,9,2000,200009,ORL,Keyon Dooling,Missouri,13,728,14134,5067,964,1601,0.416,0.349,0.799,19.4,7,1.3,2.2,18.5,0.063,-2,-0.2
10,10,2000,200010,BOS,Jérôme Moïso,UCLA,5,145,1392,386,395,38,0.489,0,0.593,9.6,2.7,2.7,0.3,2.1,0.074,-2.9,-0.3
11,11,2000,200011,DAL,Etan Thomas,Syracuse,9,409,7084,2341,1927,149,0.513,,0.603,17.3,5.7,4.7,0.4,14.9,0.101,-2.1,-0.2
12,12,2000,200012,ORL,Courtney Alexander,Fresno State,3,187,4067,1690,409,227,0.422,0.339,0.813,21.7,9,2.2,1.2,4.1,0.048,-3.7,-1.7
13,13,2000,200013,DET,Mateen Cleaves,Michigan State,6,167,1863,609,175,310,0.389,0.267,0.728,11.2,3.6,1,1.9,-0.8,-0.021,-5.6,-1.7
14,14,2000,200014,MIL,Jason Collier,Georgia Tech,5,151,2178,841,443,51,0.455,0.35,0.738,14.4,5.6,2.9,0.3,1.9,0.042,-5.4,-1.9
15,15,2000,200015,SEA,Desmond Mason,Oklahoma State,10,643,19641,7767,2863,1049,0.449,0.26,0.74,30.5,12.1,4.5,1.6,23.1,0.056,-2.4,-2.1
16,16,2000,200016,LAC,Quentin Richardson,DePaul,13,783,20785,8032,3666,1138,0.397,0.355,0.718,26.5,10.3,4.7,1.5,32.8,0.076,-0.4,8.5
17,17,2000,200017,CHH,Jamaal Magloire,Kentucky,12,680,14621,4917,4408,386,0.48,0,0.639,21.5,7.2,6.5,0.6,27.7,0.091,-2.9,-3.1
18,18,2000,200018,PHI,Speedy Claxton,Hofstra,7,334,8548,3096,830,1441,0.409,0.193,0.762,25.6,9.3,2.5,4.3,14.2,0.08,-0.3,3.6
19,19,2000,200019,TOR,Morris Peterson,Michigan State,11,711,19366,7628,2483,1090,0.418,0.373,0.773,27.2,10.7,3.5,1.5,35.7,0.089,-0.4,7.6
20,20,2000,200020,NYK,Donnell Harvey,Florida,5,205,3318,1150,827,161,0.46,0.1,0.659,16.2,5.6,4,0.8,4.7,0.069,-2.6,-0.5
21,21,2000,200021,DEN,Mamadou N'Diaye,Auburn,5,69,858,262,225,8,0.427,0,0.736,12.4,3.8,3.3,0.1,1.8,0.101,-4.2,-0.5
22,22,2000,200022,POR,Erick Barkley,St. John's,2,27,266,77,21,40,0.356,0.267,0.9,9.9,2.9,0.8,1.5,0.2,0.027,-3.7,-0.1
23,23,2000,200023,LAL,Mark Madsen,Stanford,9,453,5335,975,1157,181,0.457,0.063,0.527,11.8,2.2,2.6,0.4,8.2,0.074,-4.1,-2.9
24,24,2000,200024,DAL,Dan Langhi,Vanderbilt,4,133,1253,393,199,39,0.391,0.289,0.613,9.4,3,1.5,0.3,0.3,0.012,-4.6,-0.8
25,25,2000,200025,CHI,A.J. Guyton,Indiana,3,80,1246,442,80,147,0.377,0.378,0.822,15.6,5.5,1,1.8,0.3,0.01,-2.9,-0.3
26,26,2000,200026,CHI,Jake Voskuhl,UConn,9,450,6443,1814,1539,237,0.487,0.333,0.714,14.3,4,3.4,0.5,11.6,0.087,-3.8,-3
27,27,2000,200027,CHI,Khalid El-Amin,UConn,1,50,936,314,81,145,0.37,0.333,0.778,18.7,6.3,1.6,2.9,0.6,0.03,-2.4,-0.1
28,28,2000,200028,WAS,Mike Smith,Louisiana-Monroe,1,17,180,51,22,10,0.322,0.167,0.625,10.6,3,1.3,0.6,-0.1,-0.033,-4.2,-0.1
29,29,2000,200029,MIA,Eddie House,Arizona State,11,717,12405,5356,1223,1112,0.409,0.39,0.851,17.3,7.5,1.7,1.6,20,0.077,0,6.1
30,30,2000,200030,HOU,Eduardo Nájera,Oklahoma,12,619,11213,3052,2307,493,0.481,0.311,0.671,18.1,4.9,3.7,0.8,24.7,0.106,-0.9,3
31,31,2000,200031,NYK,Lavor Postell,St. John's,3,61,446,195,45,13,0.335,0.25,0.795,7.3,3.2,0.7,0.2,-0.2,-0.025,-5,-0.3
32,32,2000,200032,ATL,Hanno Möttölä,Utah,2,155,2360,715,442,75,0.442,0.063,0.783,15.2,4.6,2.9,0.5,0.9,0.019,-5.9,-2.3
33,33,2000,200033,MIL,Michael Redd,Ohio State,12,629,20104,11972,2411,1338,0.447,0.38,0.838,32,19,3.8,2.1,55.9,0.134,2.2,21.4
34,34,2000,200034,DET,Brian Cardinal,Purdue,12,456,6477,2108,1050,465,0.408,0.372,0.861,14.2,4.6,2.3,1,15.4,0.114,-0.1,3.2
35,35,2000,200035,SAC,Jabari Smith,LSU,4,108,1063,329,178,66,0.413,0.125,0.69,9.8,3,1.6,0.6,1.3,0.058,-4.3,-0.6
36,36,2000,200036,MIL,Jason Hart,Syracuse,9,341,5289,1623,567,774,0.417,0.315,0.788,15.5,4.8,1.7,2.3,8.6,0.078,-1.2,1
37,37,2000,200037,UTA,Kaniel Dickens,Idaho,3,19,85,22,12,2,0.4,0.333,0.75,4.5,1.2,0.6,0.1,0.1,0.055,-3,0
38,38,2000,200038,MIA,Ernest Brown,Indian Hills Community College,1,3,21,3,6,0,0.167,,0.25,7,1,2,0,-0.2,-0.349,-18.2,-0.1
39,39,2000,200039,DEN,Dan McClintock,Northern Arizona University,1,6,58,18,17,1,0.5,,0,9.7,3,2.8,0.2,0,0.007,-7.9,-0.1
40,40,2000,200040,GSW,Chris Porter,Auburn,1,51,1147,440,189,61,0.389,0,0.667,22.5,8.6,3.7,1.2,0.2,0.008,-4.5,-0.7
1,1,2001,200101,GSW,Jason Richardson,Michigan State,13,857,29241,14644,4245,2284,0.438,0.37,0.707,34.1,17.1,5,2.7,59.1,0.097,1.2,23.8
2,2,2001,200102,MEM,Shane Battier,Duke,13,977,30004,8408,4082,1717,0.437,0.384,0.743,30.7,8.6,4.2,1.8,75.7,0.121,1.7,28.2
3,3,2001,200103,NJN,Eddie Griffin,Seton Hall,5,303,6729,2171,1744,236,0.377,0.315,0.671,22.2,7.2,5.8,0.8,10.9,0.078,-0.4,2.8
4,4,2001,200104,DET,Rodney White,UNC Charlotte,4,218,3354,1540,485,237,0.424,0.314,0.749,15.4,7.1,2.2,1.1,1.8,0.026,-2.2,-0.1
